Sample_ID	Protocol	Abort	Rerun	Sample_Project	Sample_group	Name	Model	Species	Reference	Seq_Plus	Tissue	Tumor_Type	CvsN	Index_Type	Index_well	index	Prep_Date	Submit_Date	Platform	Fraction	cells_targeted	PI	Description	link_folder	tar_folder	subset_nCount_RNA_min	subset_nCount_RNA_max	subset_percent.mt_max	cluster_label	geo_acc
S0122	3GEX	N	N	R0039	18	"K7M2 sLPmCherry lung mets 10 days post injection. Flow sorted Cherry positive fraction 1:1:1 mix of CD45+, Epcam+ and double negative"	K7M2	mouse	10x-mouse		lung	OS	SC	SI-GA-	F4	SI-GA-F4	5/14/2021	6/3/2021	NS_S1	0.17	1800	R. Roberts	"Cherry positive fraction 1:1:1 mix of CD45+, Epcam+ and double negative"		210609_A00498_0310_BHFVYYDRXY_Roberts	1000	100000	30	BALBC_K7M2_lung_1	GSE316454
S0123	3GEX	N	N	R0039	18	"K7M2 sLPmCherry lung mets 10 days post injection. Flow sorted Cherry negative fraction 1:1:1 mix of CD45+, Epcam+ and double negative"	K7M2	mouse	10x-mouse		lung	OS	SC	SI-GA-	G4	SI-GA-G4	5/14/2021	6/3/2021	NS_S1	0.17	3200	R. Roberts	"Cherry negative fraction 1:1:1 mix of CD45+, Epcam+ and double negative"		210609_A00498_0310_BHFVYYDRXY_Roberts	1000	35000	30	BALBC_K7M2_lung_2	GSE316454
