Sample_ID	Protocol	Abort	Rerun	Sample_Project	Sample_group	Name	Model	Species	Reference	Seq_Plus	Tissue	Tumor_Type	CvsN	Index_Type	Index_well	index	Prep_Date	Submit_Date	Platform	Fraction	cells_targeted	PI	Description	link_folder	tar_folder	subset_nCount_RNA_min	subset_nCount_RNA_max	subset_nFeature_RNA_min	subset_nFeature_RNA_max	subset_percent.mt_max	subset_nCount_ATAC_min	subset_nCount_ATAC_max	subset_frip_min	subset_tss_enrich_min	subset_nucleosome_signal_max	subset_mt_atac_max
S0033	3GEX	N	N	R0014	11	Dvanit ctrl B6	Dvanit	mouse	10x-mouse	NA	bone marrow		SC	SI-GA-	E5	SI-GA-E5	6/28/2019	7/2/2019	NS_SP	0.5	8000	D. Shah	Dvanit ctrl mice Flow sorted defined murine bone marrow population			0	50									
S0036	3GEX	N	N	R0018	11	Dvanit CD36+LSK		mouse	10x-mouse	NA	tibia		SC	SI-GA-	G5	SI-GA-G5	7/15/2019	8/2/2019	HS4000	1	8000	D. Shah	CD36+LSK Dvanit Shah lab (Marie) Flow sorted murine bone marrow cells			0										
S0039	3GEX	N	N	R0019	11	Dvanit CD36-LSK		mouse	10x-mouse		bone marrow		SC	SI-GA-	A6	SI-GA-A6	7/19/2019	8/2/2019	HS4000	1	7645	D. Shah	CD36-LSK Dvanit Shah lab (Marie) Flow sorted murine bone marrow cells			0										
